ts_code,trade_date,is_bull,ma_cv_10,atr_pct,vol_ratio,pct_chg,turnover_rate,total_mv,pe_ttm,pb,ret_5,ret_10,ret_20,mv_bin,pct_bin,vr_bin
000880.SZ,2023-12-06,0,0.010180056661348916,0.02327948098206334,3.768525372399341,4.1744,7.8339,372073.03,23.1144,1.9477,-0.022261798753339224,-0.060552092609082786,-0.03918076580587726,小盘,3-5%,3-5
000881.SZ,2022-11-23,0,0.011992237317172623,0.019831068674256363,2.2215203064864992,2.7741,1.376,735541.28,40.007,1.1596,0.04755784061696655,0.10925449871465309,0.020565552699228773,中小,2-3%,2-3
000881.SZ,2022-11-24,0,0.01084237033536227,0.022671568627451004,3.538657209680677,4.8843,2.5755,771467.46,41.9611,1.2162,-0.02083333333333337,0.042892156862744946,-0.02573529411764708,中小,3-5%,3-5
000881.SZ,2023-03-03,1,0.011820241105191856,0.01767220121650503,2.3481484375974793,2.1152,2.025,821575.03,44.6865,1.2952,-0.04257767548906777,-0.024165707710011364,-0.06444188722669719,中小,2-3%,2-3
000881.SZ,2023-03-15,0,0.018829158783696717,0.020360480640854467,1.731513282607766,3.2569,1.776,809284.49,44.018,1.2758,-0.012850467289719725,-0.04672897196261683,-0.05140186915887868,中小,3-5%,1.5-2
000881.SZ,2023-06-14,0,0.00922838894068163,0.01785714285714285,3.0196820691654653,2.1171,1.5006,775249.16,57.4616,1.2379,-0.019512195121951237,0.003658536585366079,-0.0012195121951219523,中小,2-3%,3-5
000882.SZ,2020-09-08,1,0.00903319673931635,0.023370638578011867,2.8428082780931483,4.8309,3.095,594005.37,371.8194,0.7383,-0.05069124423963123,-0.06451612903225812,-0.06912442396313356,中小,3-5%,2-3
000882.SZ,2021-06-03,1,0.00559568162758838,0.018996960486322188,2.9188079727309284,2.7322,1.3861,514622.16,37.5692,0.7051,-0.037234042553191404,-0.05319148936170204,-0.08510638297872342,中小,2-3%,2-3
000882.SZ,2021-07-23,0,0.01535087798999073,0.020520915548539877,2.1124183629492705,2.2599,0.8835,495460.7,36.1704,0.6796,-0.011049723756906049,-0.0055248618784530246,0.005524861878453136,小盘,2-3%,2-3
000882.SZ,2021-07-27,0,0.013632391443858957,0.024332810047095775,3.081115226548015,2.8249,1.4866,498198.05,36.3702,0.6834,0.0,0.01098901098901095,0.01098901098901095,小盘,2-3%,3-5
000882.SZ,2025-08-20,1,0.012321320603851745,0.02311939268461009,2.684270752704854,4.0201,8.9517,566631.85,359.7696,0.8226,-0.019323671497584516,0.06763285024154597,0.13043478260869557,中小,3-5%,2-3
000883.SZ,2020-07-06,1,0.007926804725287928,0.01539888682745824,3.611432975444829,5.4795,0.5109,2505368.05,16.1537,0.9019,0.04155844155844157,0.051948051948051965,-0.012987012987013102,大盘,5-7%,3-5
000883.SZ,2020-07-09,1,0.012449098899401195,0.02043399638336347,2.009844577498502,2.5974,0.3579,2570442.54,16.5733,0.9253,-0.005063291139240533,-0.025316455696202556,-0.04556962025316458,大盘,2-3%,2-3
000883.SZ,2020-08-19,1,0.018408700829522597,0.018438954529180072,2.5149821806467845,2.8351,0.5118,2596472.34,16.7411,0.9571,-0.01253132832080206,-0.027568922305764465,-0.022556390977443663,大盘,2-3%,2-3
000883.SZ,2020-10-29,1,0.014420551467585701,0.020159888773027435,2.457279345334841,2.4938,0.484,2674561.73,10.8291,0.9207,-0.031630170316301776,-0.021897810218978297,0.009732360097323589,大盘,2-3%,2-3
000883.SZ,2020-12-28,1,0.019087232383138898,0.024514991181657834,2.2721568928237956,2.5316,0.5511,2635517.04,10.6711,0.9072,-0.06172839506172845,-0.09629629629629621,-0.11604938271604937,大盘,2-3%,2-3
000883.SZ,2021-03-12,0,0.01752791211401876,0.024346580737558188,2.575744893837438,4.4503,1.0487,2596472.34,10.513,0.8938,0.10526315789473673,0.29323308270676685,0.6215538847117792,大盘,3-5%,2-3
000883.SZ,2023-02-10,1,0.0063715135267877225,0.013705256368913234,2.757445074565558,3.0233,0.6157,2910055.03,19.9233,0.9226,-0.02934537246049662,-0.006772009029345272,0.0,大盘,3-5%,2-3
000883.SZ,2023-03-02,1,0.008529011280568068,0.014789175582127076,1.6277241355851313,2.0225,0.5434,2982313.73,20.418,0.9455,-0.01982378854625544,-0.028634361233480177,-0.06828193832599105,大盘,2-3%,1.5-2
000883.SZ,2023-05-04,0,0.007562572910382576,0.017330741820537714,2.9222077970912417,3.2787,0.8594,2896917.08,31.4356,0.9338,0.04761904761904767,0.04761904761904767,0.06349206349206349,大盘,3-5%,2-3
000883.SZ,2023-05-11,0,0.009857735000082753,0.022727272727272697,2.036401407097133,2.6667,0.8093,3034865.51,32.9325,0.9782,0.0,-0.008658008658008698,0.010822510822510845,大盘,2-3%,2-3
000883.SZ,2024-01-02,0,0.004014170194418488,0.016001319696469764,1.7742877124273453,2.3641,0.4932,2823571.08,27.0519,0.8768,0.006928406466512715,0.013856812933025209,-0.002309468822170868,大盘,2-3%,1.5-2
000883.SZ,2024-11-07,1,0.009643893253429712,0.01961867919314724,1.5542039195613728,2.3762,0.9026,3360973.27,13.4878,0.9804,-0.03481624758220503,-0.023210831721470093,-0.046421663442940075,大盘,2-3%,1.5-2
000883.SZ,2024-12-16,1,0.006373955125954446,0.01641874824586023,1.6474071461424706,2.2088,0.7451,3308965.95,13.2791,0.9652,-0.01964636542239684,-0.005893909626719096,-0.07269155206286837,大盘,2-3%,1.5-2
000883.SZ,2025-04-23,0,0.006954687224446516,0.023714853734734462,2.170157538636347,3.9256,1.1342,3269727.61,13.1217,0.9538,-0.07952286282306165,-0.07355864811133206,-0.07355864811133206,大盘,3-5%,2-3
000883.SZ,2025-10-21,1,0.00483964383548849,0.015263781861292198,3.826645929346757,3.4335,1.6401,3124058.65,23.2288,0.9198,-0.0020746887966806016,-0.012448132780083054,-0.018672199170124415,大盘,3-5%,3-5
000883.SZ,2026-03-11,1,0.01341187901445042,0.01919191919191918,1.8431675959351013,2.2727,1.0735,3504296.87,18.4827,0.9415,-0.0121212121212122,0.06262626262626259,-0.07878787878787885,大盘,2-3%,1.5-2
000883.SZ,2026-03-12,1,0.015879957567446097,0.020084865629420086,1.7157474186047312,2.0202,1.0394,3575090.75,18.8561,0.9605,-0.03366336633663369,0.04950495049504955,-0.09504950495049491,大盘,2-3%,1.5-2
000885.SZ,2020-07-03,1,0.00651680243439835,0.014983579638752012,2.4389456735446897,3.3663,1.0421,518222.79,13.7253,1.8315,0.2701149425287357,0.21743295019157105,0.19444444444444464,中小,3-5%,2-3
000885.SZ,2020-07-06,1,0.008323427415317417,0.01829268292682923,5.964767692550323,9.9617,3.4276,569846.51,15.0926,2.0139,0.14982578397212531,0.12804878048780477,0.07665505226480818,中小,>7%,>5
000885.SZ,2020-07-07,1,0.011452004145330413,0.023057216054654113,4.5224655467532875,2.0035,3.2619,581263.3,15.395,2.0542,0.14090520922288619,0.1562766865926557,0.09649871904355245,中小,2-3%,3-5
000885.SZ,2021-04-16,0,0.009427599673676327,0.020672939834616457,1.823771675094572,3.0864,1.1478,643362.41,10.4755,1.369,0.03093812375249505,0.021956087824351433,-0.02395209580838331,中小,3-5%,1.5-2
000885.SZ,2021-07-21,0,0.01441082230113545,0.020904195011337837,4.649155607126437,3.4908,3.1333,647214.88,7.1204,1.3401,-0.07936507936507942,-0.10119047619047616,-0.07043650793650802,中小,3-5%,3-5
000885.SZ,2021-08-31,0,0.014134479273678396,0.017095287646796485,1.6420475766466667,2.017,1.6992,617037.2,5.8717,1.2092,0.019771071800208206,0.032258064516129004,0.11966701352757547,中小,2-3%,1.5-2
000885.SZ,2021-09-09,0,0.012168420888830009,0.01747123210777435,2.1812338638681674,2.2088,2.7717,653635.66,6.22,1.2809,-0.03831041257367396,0.02062868369351678,0.11296660117878199,中小,2-3%,2-3
000885.SZ,2022-01-04,1,0.003916080557972707,0.02346938775510204,2.954417240507919,5.6604,2.501,719127.64,6.6982,1.3336,0.008035714285714368,-0.013392857142856984,0.0044642857142858094,中小,5-7%,2-3
000885.SZ,2022-07-12,1,0.0058533650596935645,0.020279405137449295,3.180510356185819,2.8108,2.3964,610616.42,6.1474,1.0657,0.09253417455310209,0.17139852786540488,0.04626708727655093,中小,2-3%,3-5
000885.SZ,2022-07-13,1,0.005919790590840845,0.02369571155422016,5.844007737240392,9.9895,5.7383,671613.85,6.7615,1.1721,-0.02198852772466542,0.043021032504779955,-0.04684512428298282,中小,>7%,>5
